Source,Target,Pcor,StabFreq
neutrophils,total_WBC,0.6147596790206052,1
CD3tot,CD4tot,-0.4791157258315071,1
EM,NAIVE,-0.34086752369107554,1
EFF,NAIVE,-0.3254735766265394,1
neutrophils/lymphocytes,neutrophils,0.2949132818358269,1
PD1EMRA,PD1KI67,0.2854266953025979,1
PD1EMRA,EM,0.2841725196321824,0.993
KI67NAIVE,CD28KI67,0.2784361571471195,1
EM,KI657EMRA,0.2717284963753422,1
KI67CM,CM,0.26524664349067323,1
KI67CM,CD137CM,0.2629337115375966,0.999
CM,KI657EMRA,-0.25818451397404407,1
CM,EFF,-0.25324379349354204,1
KI67CD4,KI657EMRA,0.24327511278279101,1
CD8tot,EFF,0.24097485641908908,0.999
CD28KI67,KI67CD4,0.2213165598873409,1
KI67CM,KI67CD4,0.21850117467429944,1
CD28KI67,KI657EMRA,0.21064452863881186,1
KI67CD4,CD8tot,-0.206155866665438,1
neutrophils/lymphocytes,CD8tot,-0.20359349457308842,0.998
CD4tot,CD8tot,0.19805199090582318,0.988
CD8tot,NAIVE,-0.1925772939332806,0.999
CD28KI67,PD1KI67,0.1916756426069932,1
CD3tot,CD8tot,-0.1916331171775298,0.97
KI67CM,CD28KI67,0.18811159636550243,1
neutrophils/lymphocytes,CD4tot,0.18693217492479708,0.996
PD1KI67,KI657EMRA,0.1697195641519314,0.998
neutrophils/lymphocytes,PD1KI67,0.15467765656425914,0.997
CD3tot,EM,-0.15373447846247473,0.999
neutrophils/lymphocytes,PD1EMRA,0.152501268830647,0.957
KI67NAIVE,EFF,-0.15149246220367882,0.986
KI67NAIVE,PD1KI67,0.14960064307352267,0.97
PD1KI67,CD4tot,0.141435388281175,0.999
KI67CM,KI657EMRA,0.1400611516682312,0.998
KI67CM,PD1KI67,0.13486359478414692,0.962
PD1KI67,EFF,0.13226586176935004,0.984
KI67NAIVE,PD1EMRA,-0.12858977484616102,0.929
KI67NAIVE,CD3tot,-0.12614072887861486,0.979
EFF,EM,-0.12544031394395397,0.986
KI67CM,EFF,-0.12427536075332576,1
