Node,Degree,Betweenness,Closeness,Eigen_Centrality,Cluster_Coeff,Marker_Category
PD1KI67,8,0.222671568627451,0.6296296296296297,0.9999999999999999,0.32142857142857145,FACS
KI67CM,7,0.14914215686274512,0.5483870967741935,0.8468631382715288,0.38095238095238093,FACS
EFF,7,0.12450980392156863,0.5666666666666667,0.8420229215334372,0.2380952380952381,FACS
CD8tot,6,0.12463235294117647,0.5666666666666667,0.5953410342255051,0.2,FACS
KI657EMRA,6,0.05784313725490196,0.5483870967741935,0.7754834032877311,0.4,FACS
KI67NAIVE,5,0.03700980392156862,0.5151515151515151,0.6566872512301486,0.3,FACS
neutrophils/lymphocytes,5,0.23529411764705882,0.5483870967741935,0.5024650695178159,0.3,Soluble
CD28KI67,5,0.02267156862745098,0.5151515151515151,0.7192700662886979,0.6,FACS
EM,5,0.05232843137254902,0.5151515151515151,0.5495245801665506,0.1,FACS
KI67CD4,4,0.02536764705882353,0.5,0.551483188375947,0.5,FACS
PD1EMRA,4,0.03799019607843137,0.5,0.5086180856670492,0.3333333333333333,FACS
CD3tot,4,0.019607843137254898,0.4594594594594595,0.42731727653955537,0.16666666666666666,FACS
CD4tot,4,0.018995098039215685,0.5151515151515151,0.4741515753757734,0.5,FACS
CM,3,0.001838235294117647,0.425,0.46274359199923637,0.6666666666666666,FACS
NAIVE,3,0.0024509803921568627,0.4722222222222222,0.3730852665502624,0.6666666666666666,FACS
neutrophils,2,0.11764705882352941,0.37777777777777777,0.0977979396642096,0,Soluble
total_WBC,1,0,0.2786885245901639,0.018363873829838413,NA,Soluble
CD137CM,1,0,0.3617021276595745,0.1590185629242933,NA,FACS
