Source,Target,Pcor,StabFreq
KI67NAIVE,KI67CD4,0.12300917425045421,0.99
KI67CD4,NAIVE,0.117774331854039,0.979
PD1KI67,CD8tot,0.11355080242188312,0.948
PD1EMRA,NAIVE,-0.112359928250664,0.949
CD4tot,EFF,-0.10959690746752174,0.966
KI67CM,PD1EMRA,-0.10613820416732415,0.961
neutrophils/lymphocytes,CD3tot,-0.10608383118281009,0.902
CM,EM,-0.09588105649365367,0.904
EFF,KI657EMRA,0.095491615887516465,0.97
KI67NAIVE,CM,0.0893276133772129,0.9
KI67NAIVE,CD8tot,-0.08858308531442627,0.915
neutrophils/lymphocytes,total_WBC,0.07776164846358782,0.911
