Node,Degree,Betweenness,Closeness,Eigen_Centrality,Cluster_Coeff,Marker_Category
KI67NAIVE,3,0.14705882352941177,0.5,0.9999999999999999,0,FACS
neutrophils/lymphocytes,2,0.007352941176470588,1,2.162369190300421e-16,0,Soluble
KI67CD4,2,0.11029411764705882,0.47058823529411764,0.7537362176144096,0,FACS
PD1EMRA,2,0.051470588235294115,0.32,0.3473300360421533,0,FACS
CD8tot,2,0.051470588235294115,0.38095238095238093,0.6441713721417486,0,FACS
CM,2,0.051470588235294115,0.38095238095238093,0.6441713721417487,0,FACS
EFF,2,0.007352941176470588,1,2.9134611410731243e-16,0,FACS
NAIVE,2,0.08823529411764706,0.4,0.539188872810889,0,FACS
KI67CM,1,0,0.25,0.17008648662603387,NA,FACS
total_WBC,1,0,0.6666666666666666,1.8529510492290994e-16,NA,Soluble
PD1KI67,1,0,0.2857142857142857,0.31544880690757227,NA,FACS
CD3tot,1,0,0.6666666666666666,1.8399153641143395e-16,NA,FACS
CD4tot,1,0,0.6666666666666666,2.3625901557679867e-16,NA,FACS
EM,1,0,0.2857142857142857,0.3154488069075724,NA,FACS
KI657EMRA,1,0,0.6666666666666666,2.9023393292480526e-16,NA,FACS
CD28KI67,0,0,NA,6.890353650692958e-19,NA,FACS
neutrophils,0,0,NA,6.890353650692958e-19,NA,Soluble
CD137CM,0,0,NA,6.890353650692958e-19,NA,FACS
