Source,Target,Pcor,StabFreq
neutrophils,total_WBC,0.68072740779687535,1
CD3tot,CD4tot,-0.5969928334218656,1
CM,EFF,-0.427482629552663,1
EM,NAIVE,-0.40007517837059453,1
PD1EMRA,EM,0.3654107318896138,1
PD1EMRA,PD1KI67,0.3532760855049655,1
KI67CD4,KI657EMRA,0.338510933188021,1
CD28KI67,KI67CD4,0.33394100713773095,1
EFF,NAIVE,-0.3308188723156232,1
neutrophils/lymphocytes,neutrophils,0.30026750431424915,1
KI67NAIVE,PD1KI67,0.29517738577896896,1
CD28KI67,KI657EMRA,0.29059060704930983,1
CM,NAIVE,-0.28617046461701245,1
EM,KI657EMRA,0.24334424644884275,1
KI67CM,CM,0.22769750946987444,0.999
CD137CM,CM,0.21915233384689087,0.981
CD28KI67,PD1KI67,0.2171399045106914,1
KI67CM,CD137CM,0.2115813743119195,0.958
CD4tot,EFF,-0.210167813965083,1
KI67CD4,CD8tot,-0.2011778155808683,0.995
KI67NAIVE,CD3tot,-0.19971367932090692,0.997
PD1EMRA,CD137CM,0.1943118880044957,0.931
KI67CM,NAIVE,-0.18854476959108532,0.99
CM,KI657EMRA,-0.18264900723876187,1
PD1KI67,EM,-0.1816289969413447,0.999
PD1EMRA,EFF,0.16699855375650563,0.979
KI67NAIVE,CD28KI67,0.15786906371847392,0.998
CD8tot,CM,-0.1488278056184384,0.976
KI67CM,KI67CD4,0.14746431418579098,1
CD4tot,CD8tot,-0.14643164105289638,0.951
KI67NAIVE,NAIVE,0.13875332896379522,0.996
KI67CM,PD1KI67,0.13497037303311885,0.992
neutrophils/lymphocytes,EM,0.1336364494246944,0.986
KI67CM,CD28KI67,0.13118091109038357,0.998
KI67CD4,EM,0.11728971511775386,1
EFF,EM,-0.1159008786429106,0.98
KI67CM,EFF,-0.11399759554090998,0.948
neutrophils,CD137CM,-0.11370882358155342,0.987
KI67CM,KI657EMRA,0.11195027685625214,0.98
PD1EMRA,NAIVE,-0.10758648905535852,0.966
