Node,Degree,Betweenness,Closeness,Eigen_Centrality,Cluster_Coeff,Marker_Category
KI67CM,8,0.1430052790346908,0.5862068965517241,1,0.32142857142857145,FACS
EM,7,0.16981523378582203,0.5862068965517241,0.8119829354045406,0.2380952380952381,FACS
CM,6,0.09604072398190046,0.5483870967741935,0.7494192809350544,0.33333333333333337,FACS
EFF,6,0.1026866515837104,0.5483870967741935,0.782898685285864,0.4,FACS
NAIVE,6,0.0727846907993967,0.5483870967741935,0.811725008564609,0.4,FACS
CD28KI67,5,0.044145927601809964,0.5,0.6255360692412585,0.5,FACS
KI67CD4,5,0.050367647058823524,0.5151515151515151,0.6346062380781049,0.4,FACS
PD1EMRA,5,0.050820135746606335,0.53125,0.6488537962945404,0.4,FACS
PD1KI67,5,0.052290723981900454,0.5,0.6443866789968207,0.3,FACS
KI657EMRA,5,0.018014705882352943,0.5,0.7052311907505627,0.5,FACS
KI67NAIVE,4,0.07902526395173454,0.4473684210526316,0.405464225749079,0.16666666666666666,FACS
CD137CM,4,0.16547888386123683,0.5,0.4650503727511494,0.16666666666666666,FACS
neutrophils,3,0.12806372549019607,0.37777777777777777,0.12176677427110925,0,Soluble
CD4tot,3,0.048670814479638,0.4146341463414634,0.22043227896994827,0,FACS
CD8tot,3,0.03164592760180995,0.4473684210526316,0.2960880545484995,0,FACS
neutrophils/lymphocytes,2,0.049226998491704366,0.425,0.17231499346422827,0,Soluble
CD3tot,2,0.014093137254901961,0.3469387755102041,0.11550349199830658,0,FACS
total_WBC,1,0,0.2786885245901639,0.022470947723212495,NA,Soluble
