Source,Target,Pcor,StabFreq
KI67NAIVE,EM,-0.10517119199702689,0.968
CD28KI67,EFF,-0.10282011744734648,0.997
KI67NAIVE,total_WBC,-0.10054208993118674,0.907
KI67NAIVE,KI657EMRA,-0.09793791823298345,0.957
PD1EMRA,CD4tot,0.09660239711115025,0.957
KI67CD4,PD1KI67,0.09515747218114927,0.941
neutrophils/lymphocytes,KI657EMRA,0.09441792339226202,0.97
PD1KI67,KI657EMRA,0.09228933387865744,0.924
PD1KI67,CD4tot,0.08899005109426184,0.964
CM,EM,0.08651280090835471,0.947
neutrophils/lymphocytes,CD4tot,0.08355605571467314,0.927
neutrophils/lymphocytes,CD28KI67,-0.08232577045093402,0.938
KI67CD4,CM,-0.0816224403093909,0.987
PD1KI67,EFF,0.07747934257046384,0.933
PD1KI67,CD3tot,-0.07721606953184128,0.916
