Node,Degree,Betweenness,Closeness,Eigen_Centrality,Cluster_Coeff,Marker_Category
PD1KI67,5,0.24632352941176472,0.5714285714285714,0.9999999999999999,0,FACS
KI67NAIVE,3,0.12990196078431374,0.42857142857142855,0.4101740444370815,0,FACS
neutrophils/lymphocytes,3,0.07107843137254902,0.4444444444444444,0.6769245415272367,0,Soluble
CD4tot,3,0.09436274509803921,0.4444444444444444,0.6949704655096862,0,FACS
KI657EMRA,3,0.16176470588235292,0.5217391304347826,0.752514636384037,0,FACS
CD28KI67,2,0.007352941176470588,0.375,0.42996443213106017,0,FACS
KI67CD4,2,0.06862745098039216,0.42857142857142855,0.44987712684309733,0,FACS
CM,2,0.030637254901960786,0.36363636363636365,0.2477337581148955,0,FACS
EFF,2,0.029411764705882353,0.41379310344827586,0.5155813778629083,0,FACS
EM,2,0.02818627450980392,0.34285714285714286,0.23721220173357255,0,FACS
total_WBC,1,0,0.3076923076923077,0.14789046093916391,NA,Soluble
PD1EMRA,1,0,0.3157894736842105,0.2505753444842819,NA,FACS
CD3tot,1,0,0.375,0.36055538604868864,NA,FACS
KI67CM,0,0,NA,0,NA,FACS
neutrophils,0,0,NA,0,NA,Soluble
CD137CM,0,0,NA,0,NA,FACS
CD8tot,0,0,NA,0,NA,FACS
NAIVE,0,0,NA,0,NA,FACS
