Node,Degree,Betweenness,Closeness,Eigen_Centrality,Cluster_Coeff,Marker_Category
CD8tot,6,0.25305555555555553,0.5714285714285714,1,0.33333333333333337,FACS
CD4tot,5,0.06430555555555556,0.45714285714285713,0.8513089365757467,0.4,FACS
neutrophils/lymphocytes,5,0.11472222222222221,0.48484848484848486,0.7504331921209041,0.2,Soluble
EFF,5,0.12375000000000001,0.48484848484848486,0.8085847962413414,0.3,FACS
NAIVE,5,0.31305555555555553,0.5333333333333333,0.5530971782841767,0.1,FACS
CM,4,0.25416666666666665,0.5161290322580645,0.6111841147674675,0.3333333333333333,FACS
KI67NAIVE,4,0.16569444444444445,0.47058823529411764,0.3687941360220349,0,FACS
PD1KI67,3,0.04541666666666666,0.41025641025641024,0.36967208537607066,0.3333333333333333,FACS
CD3tot,3,0.03597222222222222,0.42105263157894735,0.5472803809103505,0.3333333333333333,FACS
EM,3,0.01972222222222222,0.37209302325581395,0.4045198259002688,0.3333333333333333,FACS
KI657EMRA,3,0.057777777777777775,0.45714285714285713,0.4677011709871922,0,FACS
PD1EMRA,2,0,0.37209302325581395,0.4027022305406475,1,FACS
CD137CM,2,0.125,0.36363636363636365,0.15755085996328744,0,FACS
KI67CD4,2,0.029444444444444443,0.37209302325581395,0.16564132481148144,0,FACS
CD28KI67,2,0.014583333333333334,0.3404255319148936,0.12965790996295776,0,FACS
KI67CM,1,0,0.35555555555555557,0.13418537765231753,NA,FACS
neutrophils,1,0,0.2711864406779661,0.03822297866209517,NA,Soluble
